,FixtureDateAsDate,HomeTeam,AwayTeam,HomeTeamResult,prediction,HomeOdds,DrawOdds,AwayOdds,payoff,weeknum
2939,2018-10-02,Reading,Queens Park Rangers,L,W,2.4,3.2,3.0,-1.0,40
5244,2018-10-03,Rotherham United,Bristol City,D,L,3.5,3.3,2.1,-1.0,40
1211,2018-10-03,Derby County,Norwich City,D,W,2.1,3.3,3.4,-1.0,40
3199,2018-10-03,Blackburn Rovers,Sheffield United,L,L,2.8,3.2,2.55,2.55,40
2844,2018-10-03,Sheffield Wednesday,West Bromwich Albion,D,L,3.4,3.5,2.05,-1.0,40
2193,2018-10-03,Nottingham Forest,Millwall,D,W,1.91,3.3,4.2,-1.0,40
9699,2018-10-05,Brighton & Hove Albion,West Ham United,W,L,2.6,3.2,2.75,-1.0,40
1424,2018-10-06,Leeds United,Brentford,D,W,2.3,3.5,2.9,-1.0,40
8420,2018-10-06,Crystal Palace,Wolverhampton Wanderers,L,W,2.87,3.1,2.55,-1.0,40
10406,2018-10-06,Tottenham Hotspur,Cardiff City,W,W,1.22,6.0,13.0,1.22,40
9947,2018-10-06,Leicester City,Everton,L,W,2.15,3.4,3.3,-1.0,40
10291,2018-10-06,Swansea City,Ipswich Town,L,W,1.8,3.3,5.0,-1.0,40
2235,2018-10-06,Norwich City,Stoke City,L,D,2.45,3.25,2.87,-1.0,40
976,2018-10-06,Bolton Wanderers,Blackburn Rovers,L,L,3.4,3.1,2.25,2.25,40
10645,2018-10-06,West Bromwich Albion,Reading,W,W,1.53,4.2,6.0,1.53,40
715,2018-10-06,Birmingham City,Rotherham United,W,W,1.67,3.6,5.5,1.67,40
8862,2018-10-06,Manchester United,Newcastle United,W,W,1.44,4.2,7.5,1.44,40
2679,2018-10-06,Queens Park Rangers,Derby County,D,L,2.65,3.1,2.7,-1.0,40
2579,2018-10-06,Sheffield United,Hull City,W,W,1.57,3.9,5.8,1.57,40
1690,2018-10-06,Middlesbrough,Nottingham Forest,L,W,1.75,3.4,5.0,-1.0,40
2393,2018-10-06,Preston North End,Wigan Athletic,W,W,2.3,3.3,3.0,2.3,40
10530,2018-10-06,Watford,AFC Bournemouth,L,W,2.1,3.5,3.3,-1.0,40
1984,2018-10-06,Millwall,Aston Villa,W,L,2.7,3.2,2.6,-1.0,40
8066,2018-10-06,Burnley,Huddersfield Town,D,W,2.1,3.0,3.9,-1.0,40
9217,2018-10-07,Southampton,Chelsea,L,L,5.5,3.9,1.6,1.6,40
1406,2018-10-07,Fulham,Arsenal,L,L,4.75,4.2,1.61,1.61,40
569,2018-10-07,Bristol City,Sheffield Wednesday,L,W,1.83,3.6,4.2,-1.0,40
10061,2018-10-07,Liverpool,Manchester City,D,L,2.45,3.5,2.7,-1.0,40
